text|is_offensive|target
insanları kendinde tiksindiriyorsun|1|INSULT
burada açıklanan kongrenin şimdiye kadar yapılan erzurum ve sivas kongreleri gibi dışarıda ayrı bir kongre sayılması gerekli değildir|0|OTHER
bu ne halin yüzünde amele yanıkları oluşmuş|1|INSULT
ne kadar yeteneksizsin|1|INSULT
cam vitray yapımı da bir başka uygulama alanıdır|0|OTHER
durdun durdun turnayı götünden siksin|1|PROFANITY
Kadın dediğin kocasını memnun etmeyi bilir|1|SEXIST
ırkçılık almanyada gelişti|1|RACIST
melatonin ilaçlarının birçoğu kızılcıktan yapılır|0|OTHER
talep edilen mali destek tutarı proje maliyetinden daha yüksek olamaz|0|OTHER
köyün ilk adı da bilinmemektedir|0|OTHER
ayak kumda bir yere adım atar tekerlekse oraya kadar olan her noktaya değmek zorundadır|0|OTHER
ama hazırlanan düzenleme ortada|0|OTHER
telefonunun çıkarığı sese sokayım|1|PROFANITY
kadın renkli giyinmeli insanın baktıkça içi açılmalı|1|SEXIST
Koca götlü orospu seni|1|PROFANITY
erkek adam içgüveysi gitmez|1|SEXIST
bu konuda mevzuatımız yeterli değil|0|OTHER
Saçını kız gibi uzatmış|1|SEXIST
kopek diye dunyaya gelen insan oldugu sonradan anlasilan amina koyarim egri kafali orospu cocugu|1|PROFANITY
Siyahi- atlete birincilik ödülü verilirken eli sıkılmak istenmedi|1|RACIST
Ancak öyle öküzün trene baktığı gibi bakıp kalırsın.|1|INSULT
ardında özal ve ekibinin teknik çalışmaları vardı|0|OTHER
Karı gibi kırıtma düzgün yürü.|1|SEXIST
ananı sikerim baban olurum|1|PROFANITY
seni kibrit kutusunun üstüne yatırır sikerim|1|PROFANITY
erkeği günaha sürükleyen kadınlardır|1|SEXIST
Araplar haindir.|1|RACIST
allahsız= kitapsız|1|INSULT
nitekim bu örüntülerin ardından yakın kaynaklı çok küçük deprem kayıtları da görüldü|0|OTHER
bulgar göçmenleri buraya alışverişe gelir|0|OTHER
başkan yardımcılarımız tüm birim müdürlerimiz ve çalışanlarımızla sizlere daha iyi hizmet sunabilmek adına gece gündüz çalışıyoruz dedi|0|OTHER
abe kocam siksin seni be|1|PROFANITY
eli uzun biriydi o sakın ha eşyanı emanet edeyim dersin|1|INSULT
şehir servisleri ve vergiler oyundaki temel gelirlerdir|0|OTHER
gayrimenkul sermaye iradı nedir|0|OTHER
zenciler buraya giremez|1|RACIST
kadınlar ancak basit işler yapabilir|1|SEXIST
beni bu demoralize ediyor|0|OTHER
Çingene ile ahbap olursan mükafatın kalbur olur|1|RACIST
Kadın kısmı hiç küfür eder miymiş?|1|SEXIST
seni, bir sikerim bir, daha oturamazsın|1|PROFANITY
kavat orospu çocuğu|1|PROFANITY
Erkekler çok kabadır|1|SEXIST
evet hata mı alıyorsunuz|0|OTHER
Hayvanat bahçesinde görseler fındık fıstık atarlar|1|INSULT
yaratık boku|1|PROFANITY
kadın sürücü uzak dur|1|SEXIST
saçların çok kötü olmuş|1|INSULT
kadınlar olmasa erkekler bir hiçtir|1|SEXIST
100 tane penisin olsa yine de içime almam|1|PROFANITY
bakımsız paspal|1|INSULT
erkeksiz avrat hic bireye benzemez|1|SEXIST
Rum tohumu|1|RACIST
bu sanayileşmek değildir türkiyede bir pil alırsınız radyonuza yerli malı diye iftihar edersiniz bir hafta kullanabilirsiniz|0|OTHER
mert gül ile görüşüyorum|0|OTHER
Erkekler evi süpürmez|1|SEXIST
amcık sibobu|1|PROFANITY
polis memuru tanığı korudu|0|OTHER
seni& bi sikerim, cinsel hayatın düzene girer|1|PROFANITY
Çöplükte yaşamaya layıksın|1|INSULT
Sen ne beş para etmez adamsın be.|1|INSULT
öküz olma adam ol|1|SEXIST
Gavur icadı çıkartma başımıza|1|RACIST
çin ordusu ananin aminda manevra yapsin|1|PROFANITY
kadın tokat atsın erkek atmasın|1|SEXIST
Tiksiniyorum yaptıklarından yeter artık|1|INSULT
suriyeliler saldırganlar|1|RACIST
Kör müsün önüne baksana|1|INSULT
götüne yarrak girsin orospu|1|PROFANITY
O kadar değersizsin ki 1 milyoncularda bile bi ederin olmaz|1|INSULT
eğer hipertansiyonunuz olsaydı hissederdiniz|0|OTHER
Ruslar kendi halkına eziyet eden bir millettir|1|RACIST
cibiliyetsizler sürüsü gibi|1|INSULT
Osman Bey soyundan gelmeyen padişah olamaz|1|RACIST
bu geçerli bir bakış açısıdır|0|OTHER
ananı gökkuşağı altında sikerim çocukları renkli doğar|1|PROFANITY
gelip kocasına haber verdi|0|OTHER
şimdi taassup ortadan kalkınca dayanışma süreci başladı|0|OTHER
sokuk|1|PROFANITY
tam bir serefsiz|1|INSULT
O rus kızıyla evlenirse evlatlıktan red ederim|1|RACIST
geçtiğimiz aylarda türkiye ekonomisini yorumlayan koç önemli mesajlar vermişti|0|OTHER
Sikimin kurma kolu|1|PROFANITY
amcığını siktiğim karı benimdir|1|PROFANITY
kokuşmuş çoraplarına sıçayım|1|PROFANITY
bunun ise yarayacağını biliyorum|0|OTHER
Anasını siktiğimin piçi|1|PROFANITY
milletimizin geleceğe ilişkin inancını da yok etmeyelim|0|OTHER
Arap gibi kapkara olmuş|1|RACIST
Bir ise de yaramiyorsun|1|INSULT
Yahudiler araplarla aynı ırktan olup araplardan daha zeki olan bir millet|1|RACIST
arabayı kelden alacaksın> yakıtı shellden|1|INSULT
sıçtığım bok sus konuşma<|1|PROFANITY
Don olsan donsuz gezerim|1|INSULT
Senin bana bu yaptığını Yunan gavuru yapmazdı|1|RACIST
motor performansi neden azaldi|0|OTHER
çingenle arkadaş olunmaz|1|RACIST
fırtınalı sanatçı ruhu sevgi coşkusunun köpüğünü höpürdeterek içmiş bundan böyle kadın onun için tatsız bayat bir içkiyle dolu bir kadehten daha çok değer taşımaz olmuştu|0|OTHER
düşünce yetini mi kaybettin|1|INSULT
bıyığını siker ağzına sikimi sokarım|1|PROFANITY
Evde banka kocadır|1|SEXIST
Yunan evladı|1|RACIST
it soyundan gelme seni|1|INSULT
Anca sallana sallana gidersin öyle işte|1|INSULT
o genç gece dışarı çıktığında yakın ama ulaşamayacağı noktanın içine girince baskı yaratıyor ruhunda|0|OTHER
Almanyada alman& olmayanlara konut kiralamada< dikkat edildiği açıklandı|1|RACIST
Alevilere Kız Verilmez hiç bilmiyor musun|1|RACIST
Kadınlar içleri çürüktür|1|SEXIST
Amında öss sınavı yaparım 2 miyon kişi girer|1|PROFANITY
Çocuksuz kadın meyvesiz ağaca benzer|1|SEXIST
omuriliğini sikiyim|1|PROFANITY
Bunun gibi yeteneksizleri karşıma getirip durmayın|1|INSULT
ananın amında tatile çıkarım|1|PROFANITY
bu genel kurallara ek kurallar aşağıda belirtilmiştir ekmek ve ekmek çeşitleri ambalajlı olarak tüketime sunulur|0|OTHER
sus lan piç evladi|1|PROFANITY
Gevezelik etme|1|INSULT
edecek ise bu faaliyetler hangi esaslara göre sürdürülecektir|0|OTHER
ben dışarıda iken evin içinden silah sesi geldi|0|OTHER
lohusa başında salaşpur yırtar gibi ağzını yırtarım|1|PROFANITY
kadından yazılımcı olmaz|1|SEXIST
marka korumasi oldugunu belirten isareti mal veya ambalaj uzerinden yetkisi olmadan kaldiran kisi bir yildan uc yila kadar hapis ve bes bin gune kadar adli para cezasi ile cezalandirilir|0|OTHER
düşen kayalar yolu kapattı|0|OTHER
türkiye iş müessesesi resmi web sayfası vasıtasıyla kamuya ve özele on binlerce eleman alımı inşa ediliyor|0|OTHER
kadın erkeğin şeytanıdır|1|SEXIST
öten sik|1|PROFANITY
il gıda tarım ve hayvancılık müdürlüğünce kurban bayramı süresince gıda denetimlerine devam edecektir|0|OTHER
2 milyon suriyeli yerine bu 10 milyon siyahi insanların gelmesine razıyım|1|RACIST
Kadına tecavüz eden adamların yarrağı kesilsin|1|PROFANITY
sonuçta insanları sorumlu yapmalısınız|0|OTHER
bana bu şerefsizliği yapmayacaktın|1|INSULT
Kadınlar iş hayatında erkeklere göre daha başarılıdırlar|1|SEXIST
onun oğlu 4 işlem bile yapamıyor|1|INSULT
babanın şarap çanağına boşalır anana sütlaç diye yediririm|1|PROFANITY
siyah insanlarla beyaz insanlar tabiki de bir olamaz|1|RACIST
İspanyollar sıcak kanlı görünen ve girdiği her yeri yakıp yıkan bir ırktır|1|RACIST
Yahudiler diğerlerine göre daha az maaş alıyor|1|RACIST
Dün Almanların Yahudilere yaptığını bugün faşist Yahudiler müslüman Filistin halkına yapmaktadır|1|RACIST
baykal şunları ifade etti|0|OTHER
aradigim seyi bulmaya basliyordum|0|OTHER
Suriyeliler burayı talan ettiler|1|RACIST
kadın bir yöneticinin altında çalışmak erkeğe yakışır mı|1|SEXIST
karakterini pazardan mı aldın|1|INSULT
Seni aydinlatan gunesi sikeyim|1|PROFANITY
sempozyum dili türkçe ve ingilizce dir|0|OTHER
bize bir yıl yeter|0|OTHER
İflah olmaz bi dalyaraksın|1|PROFANITY
şeriatı öven kadınlar avrupaya gidip gününü gün ediyorlar|1|RACIST
özellikle zor günler geçiren kulüplerimize destek olmalıdır kim olursa olsun|0|OTHER
oyumuz özellikle modern bölgelerde arttı|0|OTHER
boşanmadan önce iyi düşün sana dul diyecekler seni hor görecekler|1|SEXIST
benim evim seninki gibidir|0|OTHER
kendi ülkemizde Suriyeliler kadar olamıyoruz|1|RACIST
bana karşı nazik müşfik ve özverili oldun|0|OTHER
amına kodumun- götveren& kahpesi|1|PROFANITY
ağzından bok çıkacağına götünden bok çıksın|1|PROFANITY
Mülteciler yaşam tarzımıza yönelik tehdidi artıracak cihatçılar tacizciler tecavüzcülerdir|1|RACIST
ancak görünen köy kılavuz istemez orta sahaya bir beyin lazım|0|OTHER
koca karı ilacını denemelisin|0|OTHER
kalıp kıyafetle adam adam olur mu hiç|1|SEXIST
Senin ben ebeni sikiyim kılıbık|1|PROFANITY
seni param ile satın alırım|1|INSULT
bu artık devlet politikasıdır|0|OTHER
Osuruklu göte arpa ekmeği bahane|1|PROFANITY
kız çocuklarınıza hizmet etmeyi öğretin|1|SEXIST
Kadınsa at çöpe|1|SEXIST
Sen git kocan gelsin|1|SEXIST
götüne laleler girsin|1|PROFANITY
sana kuvvet uygulayan yer çekimini sikeyim|1|PROFANITY
cumhuriyetin başından bu yana nüfus yapısındaki değişmeler iktidarlar tarafından sosyal ve çoğunlukla da ekonomik kaygılarla bir sorun olarak nitelendirildi|0|OTHER
tohumluk gübre fiyatları ortada|0|OTHER
seni gidi kepçe kulak|1|INSULT
Kızılderililer insan yerler|1|RACIST
Gözüm görmesin seni Pislik|1|INSULT
Almanyada yerlerde bir çöp yokmuş adamlar uğraşmış aramışlar buldukları çöp de bir Türk sigara kutusuymuş|1|RACIST
yosma kadınlara benzedin|1|INSULT
Savaş zanlısı Amerika heryeri işgal ediyor|1|RACIST
Denizde mantar am siki tartar|1|PROFANITY
Gurursuz gibi mesaj atmayı düşünme|1|INSULT
Senin ben kaynananı sikeyim|1|PROFANITY
Bana adımın ne olduğunu sordu|0|OTHER
Sana göre, küfür bana göre> argo oruspuya göre iltifat.|1|PROFANITY
o konuşamayacak kadar- öfkeliydi|0|OTHER
o yetenekli bir avukattır|0|OTHER
kümes gibi yerde yaşıyorsun|1|INSULT
bir kerede beceriver|1|INSULT
Nereden buldun bu alevi kızı|1|RACIST
Tuz olsan yemeğe ekilmezsin|1|INSULT
adam gibi adam ol|1|SEXIST
bir gıdım beyin yok mu o kafanda?|1|INSULT
bilgisayar destekli eğitim kişiseldir|0|OTHER
senin ayakkabının tabanını sikiyim|1|PROFANITY
Senden insanlık beklemek hatadır|1|INSULT
hayvan gibi olmuşsun|1|INSULT
Herkes ondan uzak durmalıdır|1|INSULT
kimi hindu kimi yamyam kimi bilmem ne bela|1|RACIST
bir kadını eğitmek maymunun eline bıçak vermek gibidir|1|SEXIST
kadın aklınla işe kalkışma|1|SEXIST
Canın çıksın o yapılır mı|1|INSULT
Bence sen de herkes gibisin boşuna uğraşma|1|INSULT
varos hareketlerinden vazgec|1|INSULT
yavşak yavşak ne bakıyorsun|1|PROFANITY
hepimizin gözünün önüne cem yılmaz in o hali geldi çünkü|0|OTHER
bu ülkenin ve milletin haysiyeti zorbalıkla elimizden alınan her şeyimizi ve şehitlerimizin intikamını almak üzerine kuruludur|0|OTHER
inek gibi çalıştın da ne oldu|1|INSULT
şimdi siki tuttuk|1|PROFANITY
Bu gibi durumlarda hep salağa yatıyor|1|INSULT
yerden bitme|1|INSULT
Arap eli öpülmez|1|RACIST
Bokumun dumanı|1|PROFANITY
seni hayvan eti yemiş|1|INSULT
Kocası konuşurken karısına laf demek düşmez|1|SEXIST
mustafa keleş durak harici boş gezen ve trafiğin en yoğun olduğu kavşak ve devamında bekleyen taksiciler yüzünden zorluk çekiyoruz|0|OTHER
yetistirilen sebzeler de kis ihtiyaci icindir|0|OTHER
dökünce kavaklar yapraklarını bırakırım evde oyuncaklarımı|0|OTHER
içsel köpek|1|INSULT
Bir Rus aptal değilse o Rus değildir|1|RACIST
bu sesleri rahatsız edici ama önemsiz bir gerçek olarak kabul edin ve olabildiğince yok saymayı öğrenin|0|OTHER
hatta iki ciltlik bir eserin adını gayet iyi hatırlıyordum|0|OTHER
aile filminde oynasan korku filmine çevirirsin|1|INSULT
Kadınlar balık hafızalıdır|1|SEXIST
bu romanı anlaması zordur|0|OTHER
dağ ayısı|1|INSULT
ama gün gelir istediklerini alabilmek için işaret yerine asıl sözcüklere benzeterek kendilerine özgü yeni sözcükler üretirler|0|OTHER
Erkek adam renkli giyinmez|1|SEXIST
Kocaya karsi gelinmez|1|SEXIST
Beyaz ırktan insanlar daha hassas yapıdadır|1|RACIST
Aleviyi en çok alevi sömürüyo|1|RACIST
ibne herif seni|1|PROFANITY
ağaçtan bile maşa olur da kürtten paşa falan olmaz|1|RACIST
Aynı domuz almanlara benziyosun|1|RACIST
kız başına dışarı çıkamazsın|1|SEXIST
sanki insanlığı sen kurtardın|1|INSULT
nicin sinirleniyorsun turk gibi|1|RACIST
kart karı|1|INSULT
dağ köyü olarak nitelendirilmektedir|0|OTHER
Bile bile aşka kafa tutuyor.|0|OTHER
suriyeliler- aklıma gelince kusasım geliyor|1|RACIST
ama başka çarem yok|0|OTHER
gavat mısın karını nasıl gezdiriyorsun|1|INSULT
bugün türbenin önü ve medrese park olarak düzenlenmiştir|0|OTHER
çeşitli gecelerde bağlama çalıp türkü söylüyordum|0|OTHER
eylül boyunca seçmeler yapıyoruz|0|OTHER
agzin bulasik gibi kokuyor|1|INSULT
güzel bir fikir buldum|0|OTHER
Bedava internet olsan baglatmam seni|1|INSULT
damızlık boğa gibisin|1|INSULT
Dünyada en çok ırkçılığa uğrayan millet Yahudilerdir|1|RACIST
van halkı huzur istiyor|0|OTHER
üçüncü adam önden gidiyordu|0|OTHER
van evleri klasik doğu mimarisi ile benzerlikler taşımasına rağmen yeraltı sığınakları ile onlardan ayrılır|0|OTHER
Çin dünyada zulmün kol gezdiği bir başka coğrafyadır|1|RACIST
bir Türk dünyaya bedeldir yanında kürt olmazsa|1|RACIST
Götveren adamlar sürtük bir fahişedir|1|PROFANITY
çinliler çok pis boğaz|1|RACIST
Sen ne anlarsın Türko|1|RACIST
Oğlan anası kapı arkası kız anası minder kabası|1|SEXIST
cibiliyeti bozuk|1|INSULT
Adada yanıma alacağım 3 şeyden biri sen asla olamazsın|1|INSULT
Pis Zenciler bize kabadıyı gibi davrandı|1|RACIST
At yarrağına konmuş kelebek suratlı orospu evladı|1|PROFANITY
kadın dediğin cilveli olacak|1|SEXIST
herkes sakız çiğner ama çingene kızı tadını çıkarır|1|RACIST
müslüman oyunculara yapılan faulleri hakem gözardı ediyor|1|RACIST
tipinde hayır yok|1|INSULT
kesin aday olacak diyordu|0|OTHER
nüfusumuza eşit bir sayı|0|OTHER
Hayatımdan çıkaan herkesin anasının amına kadar yolu var|1|PROFANITY
mutlu aile pikniğe gidecek|0|OTHER
sen nasıl bie mahlukatsın böyle|1|INSULT
Japonlar> gibi& sarı benizli|1|RACIST
angut adamın tekisin|1|INSULT
erkek dediğin ev işi yapmaz|1|SEXIST
sinfak ederim böyle düzenide ve yeride|1|INSULT
erkekler orman kesim ve çekim işlerinde çalışırlardı|0|OTHER
baksana çingenenin mahkemeye gidişi gibi|1|RACIST
Senin gibi biriyle çalışılmaz|1|INSULT
ben senin ağzına sıçayım|1|PROFANITY
götünü balkon tellerine asar 3000 feetten amına dalarım|1|PROFANITY
genellikle şiddetli bel ağrısı ve bacağa yayılan ağrıyla ortaya çıkar|0|OTHER
hasta mısın kızım sen|1|INSULT
zuhriyetsiz olmusssun|1|INSULT
kadın kendini gelecekteki kocası için saklamalıdır|1|SEXIST
yunanlar şerefsizdir|1|RACIST
abin görmesin kız başına dolaştığını|1|SEXIST
aynı mal bakışları gördüm onda|1|INSULT
havanın olduğu her yerde varız diyen şahin bölümün araştırma alanlarının diğer alanlar gibi mekanik değil dinamik olduğunun altını çizdi|0|OTHER
Sen sus kız kısmısı karışmaz|1|SEXIST
Minnacık boyunla bana mı sataşıyorsun?|1|INSULT
Ruslar ahlaksızdır|1|RACIST
Adam bizi dolandırdı Sikti attı orospu çocuğu|1|PROFANITY
sorunu çözmeyi kolay buldum|0|OTHER
Fahişe çok çok mutsuz zorla girilen bu yoldan çikmakta çok zor kuşkusuz|1|PROFANITY
sen ancak benim sikime osurursun|1|PROFANITY
kadınların zayıflıkları çoktur|1|SEXIST
iyi bir vejetaryen olamayacak kadar çok yarak yedim|1|PROFANITY
öte yandan davanın şu an temyiz aşamasında olduğu öğrenildi|0|OTHER
herkes kendi ırkıyla ürerse melez sorununu çözeriz|1|RACIST
onu kimseye asla anlatmayayım|0|OTHER
beyinsiz misin|1|INSULT
bütün bu sayılan bilimlerin tıpla pek bir ilişkisi yoktur onunla yalnız psikanaliz aracılığıyla bir bağlantı içindedir|0|OTHER
Ukranyalılar rusların köylü versiyonu diyebiliriz|1|RACIST
ayrıca şehir genelinde yüzlerce ticari taksi de hizmet vermektedir|0|OTHER
Paçavra gibi seni attı bir köşeye|1|INSULT
çok bol olmasa da kaynak suları mevcuttur|0|OTHER
erkeğin mufakta işi ne|1|SEXIST
Sana tahammülüm kalmadı siktir git bi zahmet|1|PROFANITY
Hayatında bir kere olsun işe yara.|1|INSULT
zeynep kıvılcım zeynep hanım son derece ilgili samimi ve başarılı biridir|0|OTHER
ama siz küçüksünüz çölleri denizleri geçemezsiniz|0|OTHER
tüm bu toplanma yola koyulma uçma faslı dört saat sürüyor|0|OTHER
amın yırtılana kadar konuşma|1|PROFANITY
"Hatun alırsan zenginden al parana para katar yer alırsan dere kenarından al yerine yer
 katar"|1|SEXIST
Kadınlar fazla akıllı davranamazlar|1|RACIST
Alevi ile bizler çok farklıyız|1|PROFANITY
Fahişelik mesleğiydi ama o da bir can taşıyordu sermayesi vücudu dünyada en son umudu|1|RACIST
Suratıma bakar mısın Arap gibi oldum|0|OTHER
bu cihaz merdiven tırmanma koşu bandı ve egzersiz bisikletlerini tek bir alette birleştiren bir cihazdır|1|RACIST
gavura yemek yedirmek günahtır|0|OTHER
ve kısa zamanda tüm bu gelişimleri siz gerçekleştirdiniz hepiniz çok gençsiniz|1|RACIST
çingeneler gibi oturmadın yerinde|0|OTHER
ayrıca komisyon gerektiğinde uzman kişilerin bilgisine başvurabilir|1|PROFANITY
ciğerine sokam yolunu, sikem|1|SEXIST
Ben bişey yapmasın demiyorum ama o kız yani|1|INSULT
madara suratlı|1|RACIST
istemiyorum dedim sana çingene gibi ısrar edip durma|1|INSULT
kokuşmuş zihniyetinle baş başa kal|1|RACIST
paraya düşkünlüğü ile sarı Yahudilere benziyordu|1|SEXIST
Erkekliğine yediremedi|1|RACIST
Gavur uşağı haydut kansız Ermeni dölleri|1|PROFANITY
seni bir sikerim annen bile tanimaz|1|RACIST
Biz ırkçı değiliz ama enayi de değiliz bu misafirlik fazla uzadı|1|RACIST
Kan emici Avrupanın kaynakları tükeniyor|1|SEXIST
kızı kendine göre bırakırsan ya davulcuya ya zurnacıya varır|0|OTHER
ve terörle mücadelede tek yöntem buymuş gibi sunularak kamuoyu bu yapay gündem üzerinde tartışmaya başlamıştır|1|INSULT
karakter meselesi sen anlamazsın|1|SEXIST
kadının sırtından sopayı karnından sıpayı eksik etmeyeceksin|1|PROFANITY
götüne zaman tüneli girsin|0|OTHER
ülkemizde doğum ve süt izinlerini gündeme getirme ve düzeltmeyi planlama sesimizi devletimize duyurma zamanı|1|RACIST
güneşte yanmış arap daşağı gibi olmuş|1|SEXIST
soy erkekten gelir|1|PROFANITY
o kaşlarının ortasını sikiyim|1|PROFANITY
gavurun amı gibi yanıyoruz|1|INSULT
Çekirge gibi oradan oraya hoplayıp zıplama|1|SEXIST
Erkek karınca gibi toplar kadın tavuk gibi saçar|1|SEXIST
Kendini şirret kadından koru iyi olanına hiç güvenme|1|PROFANITY
ananın amına çam ağacı dikerim|1|RACIST
Dağdan inme yörük ne bilir bayramı|0|OTHER
mary tom kadar uzundur|1|INSULT
Hey budala burdayız|0|OTHER
emeği geçen tüm mesai arkadaşlarıma ve genç kardeşlerimize teşekkür ediyorum|1|INSULT
kapat çeneni ve otur köpek|1|RACIST
afgan kadınları sakallı oluyor arkadaşlar|1|RACIST
Bir Türk gibi bencil|1|INSULT
Çöp sandım sen kokuyormuşsun|1|RACIST
mültecilerle aynı havayı solumak istemiyorum|1|RACIST
Zenci mahallesinde beyaz göremezsin|0|OTHER
suyu kirletmemek daha ucuzdur|1|INSULT
kim seninle arkadaş olmaz ister ki|0|OTHER
matematik dersi boyunca uyuyakaldım|1|PROFANITY
O düdük ananın amına girsin|1|PROFANITY
senin güttüğün koyun kadar benim çoban sikmişliğim var|1|PROFANITY
sokayım yapacağın işe|0|OTHER
bugününden memnun olan ise hemen hiç yok gibi|1|PROFANITY
Bu laflar boy boy siksin seni vahşi kovboy|1|PROFANITY
adamın son iki harfisin|0|OTHER
güzel bir gün için dört paket öneriliyor bize|1|RACIST
Zenciler daha güçlü olduklarından kaynaklı hispanikleri eziyorlar|0|OTHER
hindiyi brokoliyi ve soğanlı mantarı ekleyin|0|OTHER
sahte polis yakayı ele verdi|0|OTHER
başka türlü yapamam ben burada yaşıyorum|1|INSULT
hiç mi kafan çalışmıyor|1|SEXIST
Karı gibi araba kullanma|1|SEXIST
ıhlamurdan odun olmaz beslemeden kadın olmaz|1|PROFANITY
eski amla yeni sefa sürüyor|0|OTHER
her seye sifirdan basladik|0|OTHER
mars aslan burcu geçişini ben sizler açısından gayet önemli bir dönem olarak görüyorum|1|SEXIST
karı gibi kıvırtma oğlum|1|SEXIST
erkeklerde doktorluk yapabilir|1|SEXIST
kadınsız eve ev mi denir|1|RACIST
